user1,user2,post_id,interaction_type,platform,timestamp,interaction_weight
662,796,0de5725d-dbbb-4d11-bf51-a792f424ec0c,like,Facebook,2024-10-15T01:50:44,0.826531800283196
367,734,0cd1b1c4-2440-489a-a77a-b233117e1a02,view,LinkedIn,2024-05-24T17:11:12,0.6894237535571404
540,476,7252924d-68c0-45fb-862d-d97796bc1633,comment,LinkedIn,2024-08-30T08:05:37,0.14070782893866063
326,153,d8e39fb0-989d-421f-9252-540d54eab012,like,LinkedIn,2024-04-18T19:55:08,0.8691654570708499
98,40,b61be360-5ef7-442f-9a67-93c006949e6a,share,Instagram,2024-12-19T13:26:31,0.5838351128312523
280,275,9872ef43-d217-49c7-9008-be282f1868ed,view,Twitter,2024-04-30T12:54:06,0.4670880719493965
911,240,6412741e-9b1a-47f6-99fe-937612b41f59,comment,LinkedIn,2024-12-29T21:26:25,0.9315779494806724
743,512,831223af-410e-443d-a37d-a694e76ed206,comment,Twitter,2024-04-29T17:26:52,0.11847449684463916
126,487,b231c4a5-c2ac-4b87-9652-436ac6ef432a,comment,LinkedIn,2024-12-22T15:43:12,0.3594596305218887
932,972,43394e14-5a04-4e74-8b74-2f327be793df,like,Facebook,2024-05-28T18:03:24,0.2531941864861017
84,865,b70117ad-10ff-47c9-94d0-91179a03f662,view,Instagram,2024-11-24T13:01:04,0.8365194263347779
724,593,05390e87-9e67-4cec-9dd8-010a7a8d58c5,like,LinkedIn,2024-09-20T07:24:40,0.592945128248039
736,46,d78448d4-4a6d-4ba3-825c-d1aa4e22fd29,comment,Facebook,2024-10-13T19:39:44,0.9394891420110179
741,708,21abba17-1c5f-4097-a592-0aa5bf982947,view,Instagram,2024-05-08T14:48:22,0.5240497182742944
935,854,d428a696-6a55-40cc-ac89-cf6d499787fc,like,Instagram,2024-03-19T03:35:57,0.15839255736882255
307,267,0757ff8c-d998-4b17-9ccb-c378f3da67fa,comment,LinkedIn,2024-10-27T19:31:28,0.5849454118727153
336,926,de761a9b-4369-405d-ae4b-d5c02b9d1d6a,like,Facebook,2024-07-28T03:51:01,0.2733798448983879
42,443,7d7db86e-25a1-445e-88ed-fa917e33b3fe,view,Twitter,2024-03-26T04:05:58,0.4723133912932037
438,193,facccefa-3a7c-4db6-9095-96eaa440ef0c,comment,Facebook,2024-05-25T01:54:31,0.5419993501774512
136,491,fffb6a1d-c647-4758-8ac8-44a75a4b1b2a,view,LinkedIn,2024-08-04T03:48:39,0.36856657408524085
